node_idx,Airport_ID,Src_cap,Des_cap,Name,City,Country,IATA,Latitude,Longitude
974,2764.0,24.0,24.0,Capitan Nicolas Rojas Airport,Potosi,Bolivia,POI,-19.543100357100002,-65.72370147710001
975,6058.0,12.0,12.0,Capitán Av. Selin Zeitun Lopez Airport,Riberalta,Bolivia,RIB,-11.0,-66.0
976,4247.0,84.0,84.0,El Trompillo Airport,Santa Cruz,Bolivia,SRZ,-17.8115997314,-63.1715011597
977,2769.0,96.0,96.0,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,Bolivia,TDD,-14.8186998367,-64.9179992676
978,2768.0,618.0,618.0,Capitan Oriel Lea Plaza Airport,Tarija,Bolivia,TJA,-21.5557003021,-64.7013015747
979,1262.0,100.0,100.0,Agen-La Garenne Airport,Agen,France,AGF,44.17470169067383,0.5905560255050659
980,1324.0,4596.333333333334,4596.333333333334,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA,41.92359924316406,8.8029203414917
981,1344.0,50.0,50.0,Aurillac Airport,Aurillac,France,AUR,44.89139938354492,2.4219400882720947
982,1403.0,1756.3333333333333,1756.3333333333333,Brest Bretagne Airport,Brest,France,BES,48.4478988647461,-4.418540000915527
983,1280.0,1663.0,1663.0,Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,France,BIQ,43.4683333,-1.5311111000000002
984,1278.0,459.0,585.0,Toul Rosières Air Base,Brive,France,BVE,48.780001,5.980003
985,1330.0,688.0,688.0,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,France,CFE,45.786701202399996,3.1691699027999998
986,1412.0,265.0,265.0,Caen-Carpiquet Airport,Caen,France,CFR,49.173301696777344,-0.44999998807907104
987,1285.0,150.0,150.0,Castres-Mazamet Airport,Castres,France,DCM,43.55630111694336,2.289180040359497
988,1320.0,276.0,276.0,Metz-Nancy-Lorraine Airport,Metz,France,ETZ,48.9821014404,6.25131988525
989,1563.0,5756.5,5756.5,Peretola Airport,Florence,Italy,FLR,43.810001,11.2051
990,1323.0,1335.0,1335.0,Figari Sud-Corse Airport,Figari,France,FSC,41.5005989074707,9.097780227661133
991,687.0,6436.983333333334,6643.233333333334,Gothenburg-Landvetter Airport,Gothenborg,Sweden,GOT,57.662799835205,12.279800415039
992,1416.0,50.0,50.0,Lannion-Côte de Granit Airport,Lannion,France,LAI,48.754397999999995,-3.47166
993,1276.0,528.0,528.0,Tarbes-Lourdes-Pyrénées Airport,Tarbes,France,LDE,43.1786994934082,-0.006438999902456999
994,1399.0,4012.333333333333,3933.333333333333,Lille-Lesquin Airport,Lille,France,LIL,50.563332,3.0868860000000002
995,6493.0,1204.0,1204.0,La Rochelle-Île de Ré Airport,La Rochelle,France,LRH,46.17919921875,-1.1952799558639526
996,1409.0,99.0,99.0,Lorient South Brittany (Bretagne Sud) Airport,Lorient,France,LRT,47.76060104370117,-3.440000057220459
997,1386.0,32432.166666666664,33118.333333333336,Paris-Orly Airport,Paris,France,ORY,48.7233333,2.3794444
998,1356.0,719.0,719.0,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan,France,PGF,42.74039840698242,2.8706700801849365
999,1268.0,628.0,628.0,Poitiers-Biard Airport,Poitiers,France,PIS,46.58769989013672,0.30666598677635193
1000,1274.0,399.8,393.0,Pau Pyrénées Airport,Pau,France,PUF,43.38000106811523,-0.4186109900474548
1001,1289.0,641.0,641.0,Rodez-Marcillac Airport,Rodez,France,RDZ,44.407901763916016,2.4826700687408447
1002,1415.0,1111.0,1111.0,Rennes-Saint-Jacques Airport,Rennes,France,RNS,48.0694999695,-1.73478996754
1003,1435.0,3321.666666666667,3391.666666666667,Strasbourg Airport,Strasbourg,France,SXB,48.53829956054688,7.628230094909668
1004,1417.0,70.0,70.0,Quimper-Cornouaille Airport,Quimper,France,UIP,47.974998474121094,-4.167789936065674
1005,1187.0,5294.666666666667,5056.666666666667,Entebbe International Airport,Entebbe,Uganda,EBB,0.04238599911332129,32.44350051879883
1006,3971.0,530.3333333333334,530.3333333333334,Batumi International Airport,Batumi,Georgia,BUS,41.610298156700004,41.5997009277
1007,3972.0,1040.0,1040.0,Kopitnari Airport,Kutaisi,Georgia,KUT,42.176700591999996,42.4826011658
1008,4355.0,1285.6666666666665,1357.6666666666665,Lehigh Valley International Airport,Allentown,United States,ABE,40.652099609375,-75.44080352783203
1009,3718.0,101.66666666666666,101.66666666666666,Abilene Regional Airport,Abilene,United States,ABI,32.4113006592,-99.68190002440001
1010,4019.0,5019.666666666667,5014.833333333333,Albuquerque International Sunport,Albuquerque,United States,ABQ,35.040199,-106.609001
1011,532.0,3297.8333333333335,3297.8333333333335,Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ,57.20190048217773,-2.1977798938751216
1012,3700.0,97.0,97.0,Waco Regional Airport,Waco,United States,ACT,31.61129951477051,-97.23049926757812
1013,3341.0,7323.833333333334,7319.666666666667,Adelaide International Airport,Adelaide,Australia,ADL,-34.945,138.53100600000002
1014,3852.0,368.3333333333333,373.66666666666663,Alexandria International Airport,Alexandria,United States,AEX,31.32740020751953,-92.54979705810548
1015,3658.0,575.0,631.0,Augusta Regional At Bush Field,Bush Field,United States,AGS,33.36989974975586,-81.9645004272461
1016,2006.0,22646.549999999996,29756.716666666664,Auckland International Airport,Auckland,New Zealand,AKL,-37.0080986023,174.79200744599999
